benchmark,clients,instance,when,routes,distance,who,detailed,url
LiLim,100,lc101,2001-01-01,10,828.9369,Li&Lim,SAM::OPT,best_known_solutions/LiLim/2001-01-01/lc101.10_828.9369.txt
LiLim,100,lc102,2001-01-01,10,828.9369,Li&Lim,SAM::OPT,best_known_solutions/LiLim/2001-01-01/lc102.10_828.9369.txt
LiLim,100,lc103,2003-06-27,9,1035.3499,SAM::OPT,SAM::OPT,best_known_solutions/LiLim/2003-06-27/lc103.9_1035.3499.txt
LiLim,100,lc104,2003-04-11,9,860.0112,SAM::OPT,SAM::OPT,best_known_solutions/LiLim/2003-04-11/lc104.9_860.0112.txt
LiLim,100,lc105,2001-01-01,10,828.9369,Li&Lim,SAM::OPT,best_known_solutions/LiLim/2001-01-01/lc105.10_828.9369.txt
LiLim,100,lc106,2001-01-01,10,828.9369,Li&Lim,SAM::OPT,best_known_solutions/LiLim/2001-01-01/lc106.10_828.9369.txt
LiLim,100,lc107,2001-01-01,10,828.9369,Li&Lim,SAM::OPT,best_known_solutions/LiLim/2001-01-01/lc107.10_828.9369.txt
LiLim,100,lc108,2001-01-01,10,826.4392,Li&Lim,SAM::OPT,best_known_solutions/LiLim/2001-01-01/lc108.10_826.4392.txt
LiLim,100,lc109,2003-06-27,9,1000.5962,Q,Q,best_known_solutions/LiLim/2003-06-27/lc109.9_1000.5962.txt
LiLim,100,lc201,2001-01-01,3,591.5566,Li&Lim,SAM::OPT,best_known_solutions/LiLim/2001-01-01/lc201.3_591.5566.txt
LiLim,100,lc202,2001-01-01,3,591.5566,Li&Lim,SAM::OPT,best_known_solutions/LiLim/2001-01-01/lc202.3_591.5566.txt
LiLim,100,lc203,2003-03-11,3,591.1734,SAM::OPT,SAM::OPT,best_known_solutions/LiLim/2003-03-11/lc203.3_591.1734.txt
LiLim,100,lc204,2003-03-08,3,590.5987,SAM::OPT,SAM::OPT,best_known_solutions/LiLim/2003-03-08/lc204.3_590.5987.txt
LiLim,100,lc205,2001-01-01,3,588.8760,Li&Lim,SAM::OPT,best_known_solutions/LiLim/2001-01-01/lc205.3_588.876.txt
LiLim,100,lc206,2001-01-01,3,588.4928,Li&Lim,SAM::OPT,best_known_solutions/LiLim/2001-01-01/lc206.3_588.4928.txt
LiLim,100,lc207,2001-01-01,3,588.2863,Li&Lim,SAM::OPT,best_known_solutions/LiLim/2001-01-01/lc207.3_588.2863.txt
LiLim,100,lc208,2001-01-01,3,588.3238,Li&Lim,SAM::OPT,best_known_solutions/LiLim/2001-01-01/lc208.3_588.3238.txt
LiLim,100,lr101,2001-01-01,19,1650.7992,Li&Lim,SAM::OPT,best_known_solutions/LiLim/2001-01-01/lr101.19_1650.7992.txt
